Struct / class sizes determined by looking at ASM (CMwNod types)

CAudioBufferKeeper | addr:007A07E0 | minOffset:20 | maxOffset:60 | offsets:8 | size:UNKNOWN
CGameGeneralScores | addr:006E9D90 | minOffset:20 | maxOffset:20 | offsets:1 | size:44
CGameGhost | addr:006758C0 | minOffset:20 | maxOffset:128 | offsets:14 | size:136
CGameHighScore | addr:00709300 | minOffset:20 | maxOffset:60 | offsets:11 | size:64
CGameInterface | addr:007260D0 | minOffset:216 | maxOffset:416 | offsets:51 | size:420
CGameLadderRanking | addr:00723470 | minOffset:20 | maxOffset:80 | offsets:16 | size:84
CGameLadderRankingCtnChallengeAchievement | addr:007404A0 | minOffset:84 | maxOffset:136 | offsets:14 | size:140
CGameLadderRankingLeague | addr:0073FF60 | minOffset:84 | maxOffset:84 | offsets:1 | size:88
CGameLadderRankingSkill | addr:0073FCF0 | minOffset:84 | maxOffset:92 | offsets:3 | size:96
CGameLadderScores | addr:0070C8D0 | minOffset:20 | maxOffset:44 | offsets:4 | size:60
CGameLadderScoresComputer | addr:0070BEB0 | minOffset:36 | maxOffset:92 | offsets:4 | size:96
CGameLeague | addr:00647D00 | minOffset:20 | maxOffset:84 | offsets:17 | size:88
CGameLeagueManager | addr:006E6DA0 | minOffset:28 | maxOffset:44 | offsets:2 | size:UNKNOWN
CGameLoadProgress | addr:006EF1F0 | minOffset:20 | maxOffset:68 | offsets:11 | size:72
CGameManialinkBrowser | addr:00649D60 | minOffset:20 | maxOffset:168 | offsets:29 | size:UNKNOWN
CGameManialinkEntry | addr:0075B4B0 | minOffset:20 | maxOffset:36 | offsets:5 | size:40
CGameManialinkFileEntry | addr:0075B8C0 | minOffset:36 | maxOffset:56 | offsets:3 | size:60
CGameManiaNetResource | addr:00724180 | minOffset:68 | maxOffset:184 | offsets:16 | size:192
CGameMasterServer | addr:005AF600 | minOffset:52 | maxOffset:1552 | offsets:79 | size:UNKNOWN
CGameMenu | addr:00657150 | minOffset:20 | maxOffset:220 | offsets:24 | size:232
CGameMenuColorEffect | addr:0075A770 | minOffset:60 | maxOffset:92 | offsets:9 | size:96
CGameMenuFrame | addr:0072F2C0 | minOffset:304 | maxOffset:388 | offsets:10 | size:392
CGameMenuScaleEffect | addr:007597A0 | minOffset:44 | maxOffset:68 | offsets:7 | size:76
CGameMobil | addr:00696850 | minOffset:20 | maxOffset:48 | offsets:8 | size:56
CGameNetDataDownload | addr:0073E6D0 | minOffset:20 | maxOffset:68 | offsets:11 | size:72
CGameNetFileTransfer | addr:0071AEB0 | minOffset:256 | maxOffset:256 | offsets:1 | size:UNKNOWN
CGameNetForm | addr:00610780 | minOffset:28 | maxOffset:29 | offsets:2 | size:32
CGameNetFormAdmin | addr:0070B240 | minOffset:28 | maxOffset:28 | offsets:1 | size:UNKNOWN
CGameNetFormBuddy | addr:00709AE0 | minOffset:28 | maxOffset:44 | offsets:5 | size:48
CGameNetFormCallVote | addr:0070A430 | minOffset:32 | maxOffset:77 | offsets:12 | size:UNKNOWN
CGameNetFormGameSync | addr:0070B910 | minOffset:52 | maxOffset:52 | offsets:1 | size:68
CGameNetFormTimeSync | addr:0070B010 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:44
CGameNetFormTunnel | addr:00709CE0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:44
CGameNetOnlineEvent | addr:00718D60 | minOffset:20 | maxOffset:88 | offsets:14 | size:92
CGameNetOnlineMessage | addr:007189C0 | minOffset:20 | maxOffset:64 | offsets:10 | size:68
CGameNetOnlineNews | addr:007191A0 | minOffset:92 | maxOffset:112 | offsets:5 | size:116
CGameNetOnlineNewsReply | addr:00719760 | minOffset:28 | maxOffset:40 | offsets:4 | size:44
CGameNetPlayerInfo | addr:00701BE0 | minOffset:36 | maxOffset:372 | offsets:60 | size:376
CGameNetServerInfo | addr:00702940 | minOffset:56 | maxOffset:180 | offsets:31 | size:184
CGameNetTeamInfo | addr:00723820 | minOffset:20 | maxOffset:92 | offsets:14 | size:UNKNOWN
CGameNetwork | addr:005BAF60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CGameNod | addr:007110D0 | minOffset:24 | maxOffset:24 | offsets:1 | size:UNKNOWN
CGameOutlineBox | addr:0065AD90 | minOffset:20 | maxOffset:44 | offsets:4 | size:64
CGamePlayer | addr:005E3010 | minOffset:28 | maxOffset:72 | offsets:9 | size:76
CGamePlayerAttributesLiving | addr:00745DE0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:24
CGamePlayerCameraSet | addr:005E3210 | minOffset:20 | maxOffset:32 | offsets:4 | size:48
CGamePlayerInfo | addr:005D12B0 | minOffset:388 | maxOffset:568 | offsets:22 | size:576
CGamePlayerOfficialScores | addr:006EECD0 | minOffset:20 | maxOffset:84 | offsets:10 | size:100
CGamePlayerProfile | addr:005C7BE0 | minOffset:24 | maxOffset:652 | offsets:90 | size:656
CGamePlayerScore | addr:005CA610 | minOffset:20 | maxOffset:412 | offsets:52 | size:416
CGamePlayerScoresShooter | addr:00745430 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CGamePlayground | addr:005E3950 | minOffset:28 | maxOffset:76 | offsets:7 | size:UNKNOWN
CGamePlaygroundInterface | addr:005E2A30 | minOffset:20 | maxOffset:156 | offsets:13 | size:UNKNOWN
CGamePopUp | addr:0073B800 | minOffset:40 | maxOffset:64 | offsets:7 | size:68
CGameProcess | addr:00713020 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CGameRace | addr:005DECA0 | minOffset:32 | maxOffset:180 | offsets:19 | size:UNKNOWN
CGameRemoteBuffer | addr:0071AFD0 | minOffset:20 | maxOffset:76 | offsets:9 | size:128
CGameRemoteBufferDataInfo | addr:00718140 | minOffset:20 | maxOffset:44 | offsets:6 | size:48
CGameRemoteBufferDataInfoFinds | addr:007417E0 | minOffset:48 | maxOffset:60 | offsets:4 | size:64
CGameRemoteBufferDataInfoRankings | addr:00740F40 | minOffset:20 | maxOffset:84 | offsets:12 | size:88
CGameRemoteBufferDataInfoSearchs | addr:00741270 | minOffset:20 | maxOffset:96 | offsets:15 | size:100
CGameRemoteBufferPool | addr:00718760 | minOffset:20 | maxOffset:20 | offsets:1 | size:UNKNOWN
CGameRule | addr:007452D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CGameSafeFrame | addr:0073C320 | minOffset:20 | maxOffset:92 | offsets:16 | size:96
CGameSafeFrameConfig | addr:0075CA00 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CGameScene | addr:005DA690 | minOffset:20 | maxOffset:24 | offsets:2 | size:40
CGameSkillScoreComputer | addr:0072A1F0 | minOffset:36 | maxOffset:68 | offsets:4 | size:72
CGameSkin | addr:006FC020 | minOffset:20 | maxOffset:148 | offsets:9 | size:164
CGameSystemOverlay | addr:0063F3B0 | minOffset:20 | maxOffset:96 | offsets:18 | size:UNKNOWN
CGameTournament | addr:00724710 | minOffset:20 | maxOffset:56 | offsets:10 | size:60
CHdrComment | addr:00920F60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
CHdrDeclaration | addr:009210A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
CHdrDocument | addr:009211E0 | minOffset:72 | maxOffset:76 | offsets:2 | size:80
CHdrElement | addr:009204F0 | minOffset:68 | maxOffset:76 | offsets:3 | size:80
CHdrText | addr:0091FC50 | minOffset:68 | maxOffset:80 | offsets:4 | size:84
CHdrUnknown | addr:009203B0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
CHmsAmbientOcc | addr:00553B30 | minOffset:28 | maxOffset:28 | offsets:1 | size:44
CHmsCamera | addr:0053F0F0 | minOffset:308 | maxOffset:528 | offsets:40 | size:532
CHmsCollisionManager | addr:005372E0 | minOffset:20 | maxOffset:20 | offsets:1 | size:36
CHmsConfig | addr:0054C710 | minOffset:20 | maxOffset:28 | offsets:3 | size:40
CHmsCorpus | addr:00547460 | minOffset:72 | maxOffset:88 | offsets:5 | size:92
CHmsCorpus2d | addr:0055ED30 | minOffset:92 | maxOffset:92 | offsets:1 | size:96
CHmsCorpusLight | addr:0055BFF0 | minOffset:72 | maxOffset:96 | offsets:6 | size:100
CHmsFogPlane | addr:0055EF20 | minOffset:72 | maxOffset:76 | offsets:2 | size:128
CHmsForceField | addr:0055E9B0 | minOffset:88 | maxOffset:88 | offsets:1 | size:92
CHmsForceFieldBall | addr:0055F700 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:124
CHmsForceFieldUniform | addr:0055F360 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:104
CHmsItem | addr:0053C340 | minOffset:20 | maxOffset:84 | offsets:11 | size:88
CHmsItemShadow | addr:00554190 | minOffset:24 | maxOffset:24 | offsets:1 | size:36
CHmsLight | addr:00554780 | minOffset:104 | maxOffset:140 | offsets:6 | size:144
CHmsListener | addr:0055FCD0 | minOffset:20 | maxOffset:88 | offsets:2 | size:92
CHmsPackLightMap | addr:00541AD0 | minOffset:32 | maxOffset:784 | offsets:57 | size:792
CHmsPackLightMapAlloc | addr:0055B580 | minOffset:32 | maxOffset:64 | offsets:4 | size:116
CHmsPackLightMapCache | addr:00554EE0 | minOffset:32 | maxOffset:64 | offsets:6 | size:76
CHmsPackLightMapMood | addr:0055B0E0 | minOffset:40 | maxOffset:40 | offsets:1 | size:44
CHmsPicker | addr:00553E50 | minOffset:20 | maxOffset:220 | offsets:11 | size:268
CHmsPoc | addr:00554480 | minOffset:84 | maxOffset:84 | offsets:1 | size:88
CHmsPocEmitter | addr:0054A470 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:88
CHmsPortal | addr:0054B310 | minOffset:20 | maxOffset:136 | offsets:20 | size:264
CHmsPortalProperty | addr:0054A440 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CHmsPrecalcRender | addr:00551AD0 | minOffset:20 | maxOffset:200 | offsets:4 | size:204
CHmsShadowGroup | addr:0055C8C0 | minOffset:20 | maxOffset:100 | offsets:9 | size:156
CHmsSoundSource | addr:0055F8F0 | minOffset:88 | maxOffset:160 | offsets:6 | size:164
CHmsViewport | addr:00532600 | minOffset:32 | maxOffset:1368 | offsets:97 | size:UNKNOWN
CHmsZone | addr:0054E6C0 | minOffset:20 | maxOffset:280 | offsets:11 | size:284
CHmsZoneDynamic | addr:0054A240 | minOffset:308 | maxOffset:360 | offsets:4 | size:376
CHmsZoneElem | addr:0055E8D0 | minOffset:20 | maxOffset:20 | offsets:1 | size:72
CHmsZoneOverlay | addr:00551220 | minOffset:24 | maxOffset:368 | offsets:12 | size:396
CInputBindingsConfig | addr:008F7D40 | minOffset:68 | maxOffset:76 | offsets:3 | size:80
CInputDevice | addr:008FCEA0 | minOffset:20 | maxOffset:68 | offsets:11 | size:UNKNOWN
CInputDeviceDx8Keyboard | addr:008FE910 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:416
CInputDeviceDx8Mouse | addr:008FE2F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:192
CInputDeviceDx8Pad | addr:008FDCF0 | minOffset:48 | maxOffset:48 | offsets:1 | size:492
CInputDeviceMouse | addr:008FEC00 | minOffset:84 | maxOffset:84 | offsets:1 | size:UNKNOWN
CInputPort | addr:008FA740 | minOffset:32 | maxOffset:200 | offsets:13 | size:UNKNOWN
CInputPortDx8 | addr:008FB2B0 | minOffset:204 | maxOffset:248 | offsets:8 | size:252
CInputPortNull | addr:008FEB40 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:204
CManoeuvre | addr:00833790 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CMotion | addr:0056E1F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CMotionBone | addr:0057A600 | minOffset:136 | maxOffset:140 | offsets:2 | size:144
CMotionCmdBase | addr:00569DF0 | minOffset:28 | maxOffset:76 | offsets:10 | size:80
CMotionCmdBaseParams | addr:0056F920 | minOffset:20 | maxOffset:24 | offsets:2 | size:32
CMotionDayTime | addr:005715A0 | minOffset:36 | maxOffset:44 | offsets:3 | size:72
CMotionEmitterLeaves | addr:0057A260 | minOffset:40 | maxOffset:40 | offsets:1 | size:68
CMotionEmitterParticles | addr:00569430 | minOffset:124 | maxOffset:140 | offsets:5 | size:144
CMotionFunc | addr:005829A0 | minOffset:72 | maxOffset:132 | offsets:2 | size:140
CMotionGroupPlayers | addr:0057AD40 | minOffset:40 | maxOffset:48 | offsets:3 | size:52
CMotionLight | addr:0057F5F0 | minOffset:44 | maxOffset:52 | offsets:3 | size:56
CMotionManaged | addr:0056E370 | minOffset:24 | maxOffset:32 | offsets:3 | size:UNKNOWN
CMotionManager | addr:0056E110 | minOffset:20 | maxOffset:24 | offsets:2 | size:UNKNOWN
CMotionManagerCharacter | addr:0057D070 | minOffset:24 | maxOffset:68 | offsets:9 | size:72
CMotionManagerCharacterAdv | addr:0057B3A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:104
CMotionManagerLeaves | addr:00579A70 | minOffset:28 | maxOffset:36 | offsets:3 | size:40
CMotionManagerMeteo | addr:00578A30 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:392
CMotionManagerMeteoPuffLull | addr:005704D0 | minOffset:20 | maxOffset:40 | offsets:4 | size:68
CMotionManagerParticles | addr:00568D30 | minOffset:28 | maxOffset:52 | offsets:4 | size:68
CMotionManagerWeathers | addr:00574490 | minOffset:28 | maxOffset:276 | offsets:16 | size:304
CMotionParticleEmitterModel | addr:0056E630 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CMotionParticleType | addr:0056BE80 | minOffset:20 | maxOffset:372 | offsets:39 | size:376
CMotionPath | addr:00582090 | minOffset:44 | maxOffset:72 | offsets:6 | size:76
CMotionPlay | addr:00585230 | minOffset:44 | maxOffset:44 | offsets:1 | size:UNKNOWN
CMotionPlayCmd | addr:00581620 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CMotionPlayer | addr:0056F1B0 | minOffset:24 | maxOffset:76 | offsets:10 | size:88
CMotionPlaySound | addr:00582460 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CMotionPlaySoundMobil | addr:00582380 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
CMotions | addr:00583100 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMotionShader | addr:00570110 | minOffset:44 | maxOffset:56 | offsets:4 | size:60
CMotionSkel | addr:00580560 | minOffset:64 | maxOffset:68 | offsets:2 | size:72
CMotionSkelSimple | addr:00580C10 | minOffset:44 | maxOffset:48 | offsets:2 | size:64
CMotionTeamAction | addr:00583E80 | minOffset:60 | maxOffset:68 | offsets:3 | size:72
CMotionTeamActionInfo | addr:00585500 | minOffset:56 | maxOffset:96 | offsets:3 | size:104
CMotionTeamManager | addr:0057C450 | minOffset:56 | maxOffset:120 | offsets:5 | size:124
CMotionTimerLoop | addr:00583A10 | minOffset:20 | maxOffset:48 | offsets:7 | size:52
CMotionTrack | addr:0056FC40 | minOffset:36 | maxOffset:40 | offsets:2 | size:44
CMotionTrackMobilMove | addr:00580220 | minOffset:44 | maxOffset:116 | offsets:6 | size:120
CMotionTrackMobilPitchin | addr:0057E240 | minOffset:44 | maxOffset:64 | offsets:3 | size:184
CMotionTrackMobilRotate | addr:0056AEF0 | minOffset:64 | maxOffset:64 | offsets:1 | size:80
CMotionTrackMobilScale | addr:0057A0F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:96
CMotionTrackTree | addr:0057DA60 | minOffset:44 | maxOffset:56 | offsets:4 | size:64
CMotionTrackVisual | addr:0057F170 | minOffset:44 | maxOffset:52 | offsets:3 | size:60
CMotionWeather | addr:005749A0 | minOffset:48 | maxOffset:52 | offsets:2 | size:56
CMotionWindBlocker | addr:005790B0 | minOffset:184 | maxOffset:192 | offsets:3 | size:212
CMwClassInfoViewer | addr:00954F20 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CMwCmd | addr:00925700 | minOffset:20 | maxOffset:20 | offsets:1 | size:UNKNOWN
CMwCmdAffectIdent | addr:00954B90 | minOffset:32 | maxOffset:60 | offsets:4 | size:64
CMwCmdAffectIdentBool | addr:0094A940 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CMwCmdAffectIdentClass | addr:0094AA60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CMwCmdAffectIdentEnum | addr:00943470 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CMwCmdAffectIdentIso4 | addr:0094A590 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CMwCmdAffectIdentNum | addr:00949FE0 | minOffset:64 | maxOffset:64 | offsets:1 | size:68
CMwCmdAffectIdentString | addr:0094A3D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CMwCmdAffectIdentVec2 | addr:00949E80 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CMwCmdAffectIdentVec3 | addr:00949D20 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:64
CMwCmdAffectParam | addr:00954870 | minOffset:60 | maxOffset:88 | offsets:4 | size:92
CMwCmdAffectParamBool | addr:00949C00 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdAffectParamClass | addr:009497E0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdAffectParamEnum | addr:00949930 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdAffectParamIso4 | addr:00949A90 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdAffectParamNum | addr:00949580 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdAffectParamString | addr:009491E0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdAffectParamVec2 | addr:00949410 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdAffectParamVec3 | addr:00949010 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:92
CMwCmdArrayAdd | addr:009439C0 | minOffset:60 | maxOffset:80 | offsets:2 | size:84
CMwCmdArrayRemove | addr:00943D30 | minOffset:60 | maxOffset:80 | offsets:2 | size:84
CMwCmdBlock | addr:00941400 | minOffset:28 | maxOffset:76 | offsets:4 | size:80
CMwCmdBlockCast | addr:0094C230 | minOffset:80 | maxOffset:84 | offsets:2 | size:92
CMwCmdBlockFunction | addr:00945A10 | minOffset:88 | maxOffset:88 | offsets:1 | size:92
CMwCmdBlockMain | addr:00939230 | minOffset:108 | maxOffset:132 | offsets:3 | size:136
CMwCmdBlockProcedure | addr:00941FD0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:88
CMwCmdBreak | addr:00945DA0 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMwCmdBuffer | addr:0093E2B0 | minOffset:20 | maxOffset:68 | offsets:4 | size:72
CMwCmdBufferCore | addr:00923230 | minOffset:20 | maxOffset:256 | offsets:17 | size:264
CMwCmdCall | addr:00954590 | minOffset:60 | maxOffset:60 | offsets:1 | size:80
CMwCmdContainer | addr:0093A910 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMwCmdContinue | addr:00945B40 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMwCmdExp | addr:009407C0 | minOffset:28 | maxOffset:32 | offsets:2 | size:UNKNOWN
CMwCmdExpAdd | addr:009537A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CMwCmdExpAnd | addr:00953320 | minOffset:40 | maxOffset:44 | offsets:2 | size:48
CMwCmdExpBool | addr:009535F0 | minOffset:32 | maxOffset:32 | offsets:1 | size:40
CMwCmdExpBoolBin | addr:0094F340 | minOffset:40 | maxOffset:44 | offsets:2 | size:48
CMwCmdExpBoolFunction | addr:00945000 | minOffset:44 | maxOffset:44 | offsets:1 | size:60
CMwCmdExpBoolIdent | addr:00953010 | minOffset:56 | maxOffset:56 | offsets:1 | size:60
CMwCmdExpBoolParam | addr:00952CF0 | minOffset:68 | maxOffset:68 | offsets:1 | size:88
CMwCmdExpClass | addr:00938520 | minOffset:32 | maxOffset:40 | offsets:3 | size:44
CMwCmdExpClassFunction | addr:00944A50 | minOffset:48 | maxOffset:48 | offsets:1 | size:64
CMwCmdExpClassIdent | addr:0094F010 | minOffset:60 | maxOffset:60 | offsets:1 | size:64
CMwCmdExpClassParam | addr:0094EAF0 | minOffset:72 | maxOffset:72 | offsets:1 | size:92
CMwCmdExpClassThis | addr:00944020 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CMwCmdExpDiff | addr:00952A70 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CMwCmdExpDiv | addr:00952600 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CMwCmdExpEgal | addr:009527C0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CMwCmdExpEnum | addr:0094EE10 | minOffset:32 | maxOffset:40 | offsets:2 | size:44
CMwCmdExpEnumCastedNum | addr:009425B0 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CMwCmdExpEnumIdent | addr:00943180 | minOffset:60 | maxOffset:60 | offsets:1 | size:64
CMwCmdExpEnumParam | addr:0094E820 | minOffset:72 | maxOffset:72 | offsets:1 | size:92
CMwCmdExpInf | addr:00952450 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CMwCmdExpInfEgal | addr:009522A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CMwCmdExpIso4 | addr:0094CD10 | minOffset:32 | maxOffset:48 | offsets:5 | size:100
CMwCmdExpIso4Function | addr:00944CE0 | minOffset:104 | maxOffset:104 | offsets:1 | size:120
CMwCmdExpIso4Ident | addr:0094C710 | minOffset:116 | maxOffset:116 | offsets:1 | size:120
CMwCmdExpIso4Inverse | addr:00946730 | minOffset:100 | maxOffset:100 | offsets:1 | size:104
CMwCmdExpIso4Mult | addr:00946990 | minOffset:100 | maxOffset:104 | offsets:2 | size:108
CMwCmdExpIso4Param | addr:0094C3D0 | minOffset:128 | maxOffset:128 | offsets:1 | size:148
CMwCmdExpMult | addr:009520F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CMwCmdExpNeg | addr:00951C10 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CMwCmdExpNot | addr:00951E80 | minOffset:40 | maxOffset:40 | offsets:1 | size:44
CMwCmdExpNum | addr:009519C0 | minOffset:32 | maxOffset:32 | offsets:1 | size:44
CMwCmdExpNumBin | addr:0094FA70 | minOffset:44 | maxOffset:48 | offsets:2 | size:52
CMwCmdExpNumCastedEnum | addr:00942860 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CMwCmdExpNumDotProduct2 | addr:00946270 | minOffset:44 | maxOffset:48 | offsets:2 | size:52
CMwCmdExpNumDotProduct3 | addr:009464C0 | minOffset:44 | maxOffset:48 | offsets:2 | size:52
CMwCmdExpNumFunction | addr:0094F5D0 | minOffset:48 | maxOffset:68 | offsets:3 | size:72
CMwCmdExpNumIdent | addr:00951480 | minOffset:60 | maxOffset:64 | offsets:2 | size:68
CMwCmdExpNumParam | addr:00950FF0 | minOffset:72 | maxOffset:72 | offsets:1 | size:96
CMwCmdExpOr | addr:009509D0 | minOffset:40 | maxOffset:44 | offsets:2 | size:48
CMwCmdExpPower | addr:00950C60 | minOffset:44 | maxOffset:48 | offsets:2 | size:52
CMwCmdExpString | addr:00950690 | minOffset:32 | maxOffset:48 | offsets:5 | size:52
CMwCmdExpStringConcat | addr:00955080 | minOffset:52 | maxOffset:56 | offsets:2 | size:60
CMwCmdExpStringFunction | addr:009447B0 | minOffset:56 | maxOffset:56 | offsets:1 | size:72
CMwCmdExpStringIdent | addr:009500C0 | minOffset:68 | maxOffset:68 | offsets:1 | size:72
CMwCmdExpStringParam | addr:0094FD40 | minOffset:80 | maxOffset:100 | offsets:2 | size:104
CMwCmdExpStringTrunc | addr:00943610 | minOffset:52 | maxOffset:60 | offsets:3 | size:68
CMwCmdExpStringUpDownCase | addr:00942B50 | minOffset:52 | maxOffset:52 | offsets:1 | size:60
CMwCmdExpSub | addr:00950E50 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CMwCmdExpSup | addr:00950800 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CMwCmdExpSupEgal | addr:009503F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CMwCmdExpVec2 | addr:0094DF30 | minOffset:32 | maxOffset:40 | offsets:3 | size:52
CMwCmdExpVec2Add | addr:00948A90 | minOffset:52 | maxOffset:56 | offsets:2 | size:60
CMwCmdExpVec2Function | addr:00944480 | minOffset:56 | maxOffset:56 | offsets:1 | size:72
CMwCmdExpVec2Ident | addr:0094D340 | minOffset:68 | maxOffset:68 | offsets:1 | size:72
CMwCmdExpVec2Mult | addr:00948060 | minOffset:52 | maxOffset:56 | offsets:2 | size:60
CMwCmdExpVec2Neg | addr:00947D90 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CMwCmdExpVec2Param | addr:0094D660 | minOffset:80 | maxOffset:80 | offsets:1 | size:100
CMwCmdExpVec2Sub | addr:00948330 | minOffset:52 | maxOffset:56 | offsets:2 | size:60
CMwCmdExpVec3 | addr:0094D9B0 | minOffset:32 | maxOffset:44 | offsets:4 | size:60
CMwCmdExpVec3Add | addr:00947AB0 | minOffset:60 | maxOffset:64 | offsets:2 | size:68
CMwCmdExpVec3Function | addr:00944150 | minOffset:64 | maxOffset:64 | offsets:1 | size:80
CMwCmdExpVec3Ident | addr:0094D020 | minOffset:76 | maxOffset:76 | offsets:1 | size:80
CMwCmdExpVec3Mult | addr:00946F60 | minOffset:60 | maxOffset:64 | offsets:2 | size:68
CMwCmdExpVec3MultIso | addr:00947210 | minOffset:60 | maxOffset:64 | offsets:2 | size:68
CMwCmdExpVec3Neg | addr:00947530 | minOffset:60 | maxOffset:60 | offsets:1 | size:64
CMwCmdExpVec3Param | addr:0094C9D0 | minOffset:88 | maxOffset:88 | offsets:1 | size:108
CMwCmdExpVec3Product | addr:00946C90 | minOffset:60 | maxOffset:64 | offsets:2 | size:68
CMwCmdExpVec3Sub | addr:00947800 | minOffset:60 | maxOffset:64 | offsets:2 | size:68
CMwCmdFastCall | addr:00925650 | minOffset:28 | maxOffset:32 | offsets:2 | size:36
CMwCmdFastCallUser | addr:009254E0 | minOffset:28 | maxOffset:36 | offsets:3 | size:40
CMwCmdFiber | addr:0093AD30 | minOffset:28 | maxOffset:40 | offsets:4 | size:44
CMwCmdFor | addr:00953CA0 | minOffset:32 | maxOffset:56 | offsets:6 | size:60
CMwCmdIf | addr:00953EB0 | minOffset:32 | maxOffset:40 | offsets:3 | size:44
CMwCmdInst | addr:009384B0 | minOffset:28 | maxOffset:28 | offsets:1 | size:UNKNOWN
CMwCmdLog | addr:00948860 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMwCmdProc | addr:009456A0 | minOffset:60 | maxOffset:88 | offsets:2 | size:92
CMwCmdReturn | addr:00945FE0 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMwCmdScript | addr:00939CE0 | minOffset:28 | maxOffset:28 | offsets:1 | size:UNKNOWN
CMwCmdScriptVar | addr:009423F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdScriptVarBool | addr:0094B980 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdScriptVarClass | addr:0094B6C0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdScriptVarEnum | addr:00942F70 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CMwCmdScriptVarFloat | addr:0094B2E0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
